,ID,date,campaign_type,region,customer_age_range,gender,sales,units_sold,clients_engaged,click_rate,conversion_rate
82,Vd8241,2019-05-31 00:00:00.000000000,Social Networks,West,26-35,Female,70515.59,45.0,1644.0,1.19,0.02
83,Fy3897,2018-01-13 00:00:00.000000000,Social Networks,West,36-45,Male,40523.73,41.0,2430.0,0.22,0.05
84,Lg2094,2018-03-10 00:00:00.000000000,Email,North,36-45,Male,61518.68,72.0,2743.0,0.99,0.05
85,Me8842,2020-01-25 00:00:00.000000000,Social Networks,South,18-25,Female,143254.42,72.0,2580.0,0.65,0.11
86,Ez8837,2019-02-13 00:00:00.000000000,Social Networks,East,46-55,Female,100961.08,85.0,775.0,0.34,0.17
87,Dj4352,2021-08-24 00:00:00.000000000,Online Advertising,North,26-35,Others,108401.64,43.0,2765.0,0.61,0.05
88,Uj8549,2021-07-25 00:00:00.000000000,TV,West,26-35,Female,81003.15,100.0,2115.0,1.21,0.18
89,Hl5735,2021-01-17 00:00:00.000000000,Social Networks,South,18-25,Female,115267.41,56.0,1145.0,0.62,0.1
90,Dj1880,2020-07-16 00:00:00.000000000,Email,West,36-45,Female,48515.78,2.0,2009.0,1.31,0.07
91,Ho1156,2020-10-02 00:00:00.000000000,Social Networks,South,56+,Others,55526.86,52.0,2183.0,0.42,0.17
92,Xh1965,2019-06-21 00:00:00.000000000,Email,North,56+,Female,4770.8,79.0,1839.0,0.94,0.12
93,Dj3381,2020-09-09 00:00:00.000000000,Direct Advertising,North,56+,Female,14431.08,94.0,1534.0,1.36,0.23
94,Cx7401,2018-10-18 00:00:00.000000000,Social Networks,East,36-45,Male,108988.77,20.0,34.0,0.96,0.28
95,Vg9722,2021-12-18 00:00:00.000000000,Online Advertising,West,56+,Female,97721.45,87.0,65.0,0.6,0.09
96,Qj5224,2021-08-02 00:00:00.000000000,Online Advertising,West,26-35,Male,27757.46,15.0,2265.0,0.99,0.24
97,Wq8468,2019-11-02 00:00:00.000000000,Social Networks,West,36-45,Others,146363.81,47.0,2280.0,0.69,0.13
98,Zv8573,2018-05-01 00:00:00.000000000,Direct Advertising,South,18-25,Others,17722.42,62.0,2583.0,0.12,0.29
99,Tn5376,2021-02-07 00:00:00.000000000,Social Networks,North,36-45,Male,68641.24,52.0,2326.0,1.22,0.09
100,Lh2768,2021-03-27 00:00:00.000000000,TV,South,36-45,Male,59643.58,73.0,2205.0,0.14,0.04
101,Ti1106,2020-12-23 00:00:00.000000000,Online Advertising,West,26-35,Female,89225.19,100.0,2175.0,1.15,0.07
102,Yb6369,2022-02-15 00:00:00.000000000,Direct Advertising,East,56+,Others,86164.71,20.0,129.0,1.12,0.05
103,Lw5944,2022-02-09 00:00:00.000000000,Online Advertising,North,46-55,Female,18968.19,92.0,1326.0,0.37,0.14
104,Wc5402,2019-04-25 00:00:00.000000000,Social Networks,South,36-45,Others,131727.23,61.0,529.0,1.32,0.25
105,Yb4175,2022-10-01 00:00:00.000000000,Online Advertising,West,26-35,Male,88322.59,32.0,1021.0,0.85,0.05
106,Ua1885,2018-03-08 00:00:00.000000000,Direct Advertising,North,56+,Female,81539.83,11.0,792.0,0.81,0.24
107,Nt7358,2022-08-14 00:00:00.000000000,Social Networks,North,26-35,Male,111198.31,62.0,2113.0,1.07,0.27
108,Us2086,2020-10-10 00:00:00.000000000,Online Advertising,North,36-45,Female,22710.49,68.0,1288.0,0.49,0.15
109,Dm2086,2021-01-13 00:00:00.000000000,Email,North,46-55,Female,100651.67,39.0,463.0,0.93,0.24
110,Ff3931,2018-06-14 00:00:00.000000000,Online Advertising,North,46-55,Male,58632.53,40.0,1142.0,0.31,0.1
111,Ny6131,2022-07-30 00:00:00.000000000,Email,North,56+,Male,44142.84,70.0,848.0,1.19,0.27
112,Pe9508,2020-12-10 00:00:00.000000000,Online Advertising,West,36-45,Male,112390.05,41.0,1198.0,0.34,0.21
113,Bh6426,2021-01-02 00:00:00.000000000,TV,North,56+,Female,5091.63,28.0,1044.0,0.15,0.08
114,Jy5483,2021-04-16 00:00:00.000000000,TV,North,26-35,Male,79474.02,81.0,2676.0,0.47,0.29
115,Dl1313,2021-10-17 00:00:00.000000000,Social Networks,North,36-45,Others,60332.44,97.0,266.0,0.38,0.11
116,Wo4698,2018-08-24 00:00:00.000000000,Social Networks,South,36-45,Others,33802.65,28.0,1813.0,0.96,0.08
117,Te9094,2019-09-02 00:00:00.000000000,TV,North,46-55,Male,129829.62,57.0,2248.0,1.47,0.18
118,Gq8260,2018-11-26 00:00:00.000000000,Social Networks,South,36-45,Others,103772.79,79.0,109.0,0.81,0.12
119,Qm3340,2019-12-27 00:00:00.000000000,Online Advertising,South,26-35,Male,28125.66,25.0,1346.0,0.44,0.16
120,Sp4733,2018-05-07 00:00:00.000000000,Online Advertising,East,46-55,Male,74169.01,59.0,178.0,0.89,0.05
121,Ki4975,2018-07-31 00:00:00.000000000,Direct Advertising,South,18-25,Male,113211.16,62.0,2391.0,1.3,0.13
122,Rc1492,2019-11-17 00:00:00.000000000,TV,South,56+,Male,147651.25,31.0,869.0,0.15,0.02
123,Nl9745,2022-12-14 00:00:00.000000000,Direct Advertising,West,26-35,Female,80513.79,8.0,2729.0,0.76,0.19
124,Ym5094,2020-03-24 00:00:00.000000000,Social Networks,South,56+,Male,2741.53,5.0,1791.0,1.21,0.27
125,Sp7400,2021-08-26 00:00:00.000000000,TV,South,56+,Male,72250.45,43.0,1804.0,0.81,0.28
126,Wp5062,2020-07-19 00:00:00.000000000,Online Advertising,East,36-45,Female,37673.72,16.0,2167.0,0.66,0.21
127,Ev5705,2022-11-03 00:00:00.000000000,Online Advertising,East,18-25,Male,142289.23,97.0,1812.0,0.31,0.28
128,Rc1678,2020-05-27 00:00:00.000000000,TV,West,18-25,Female,63346.23,95.0,368.0,1.3,0.17
129,Za6112,2018-08-31 00:00:00.000000000,Email,North,26-35,Male,97381.22,61.0,721.0,0.32,0.02
130,Jr7053,2020-04-26 00:00:00.000000000,Direct Advertising,South,36-45,Female,75729.11,12.0,2780.0,0.11,0.13
131,Ps8728,2022-12-21 00:00:00.000000000,TV,East,46-55,Male,77264.0,1.0,1762.0,0.13,0.13
132,Qy7541,2021-02-10 00:00:00.000000000,TV,South,36-45,Male,66704.03,59.0,1613.0,0.7,0.06
133,Dk9583,2020-09-09 00:00:00.000000000,Online Advertising,North,56+,Female,120763.06,98.0,13.0,0.67,0.05
134,Kx8670,2019-09-11 00:00:00.000000000,TV,North,18-25,Others,14691.76,88.0,975.0,1.46,0.1
135,Jj7817,2019-04-22 00:00:00.000000000,Direct Advertising,North,36-45,Others,49813.7,82.0,397.0,0.5,0.22
136,Dc9454,2018-05-31 00:00:00.000000000,Social Networks,North,36-45,Female,94792.7,7.0,1787.0,0.12,0.18
137,Aq2844,2019-10-28 00:00:00.000000000,Online Advertising,North,36-45,Female,2520.28,25.0,832.0,0.21,0.1
138,Fw8151,2022-06-26 00:00:00.000000000,Online Advertising,East,36-45,Female,86519.98,42.0,2344.0,0.08,0.1
139,Zi5404,2020-02-06 00:00:00.000000000,Direct Advertising,West,56+,Female,104146.09,59.0,769.0,0.3,0.18
140,Xg8367,2018-06-09 00:00:00.000000000,Online Advertising,East,26-35,Male,12649.16,53.0,2203.0,1.27,0.14
141,Ek2132,2021-11-15 00:00:00.000000000,Direct Advertising,South,18-25,Female,94331.83,29.0,2241.0,0.45,0.18
142,Ha8780,2018-06-04 00:00:00.000000000,Online Advertising,West,36-45,Others,143954.5,80.0,1833.0,1.14,0.27
143,Zp8006,2019-03-02 00:00:00.000000000,TV,North,18-25,Male,20865.0,7.0,117.0,1.16,0.26
144,Rl6341,2020-10-25 00:00:00.000000000,Online Advertising,South,36-45,Male,32508.45,72.0,1599.0,0.58,0.09
145,Kc8335,2018-11-22 00:00:00.000000000,Online Advertising,East,18-25,Female,27525.75,96.0,154.0,1.12,0.04
146,Gm1212,2022-12-13 00:00:00.000000000,Online Advertising,East,56+,Male,86564.67,79.0,495.0,0.62,0.18
147,Qx9594,2021-07-27 00:00:00.000000000,Social Networks,North,36-45,Female,108411.72,75.0,2438.0,0.82,0.01
148,Sf4199,2022-12-29 00:00:00.000000000,Online Advertising,East,36-45,Female,109661.15,47.0,521.0,1.25,0.12
149,Rh9068,2020-02-28 00:00:00.000000000,Direct Advertising,North,46-55,Male,27406.55,50.0,752.0,0.51,0.08
150,Sl3881,2022-05-10 00:00:00.000000000,Direct Advertising,North,18-25,Others,84034.69,15.0,557.0,0.91,0.1
151,Dr5706,2021-06-15 00:00:00.000000000,Online Advertising,North,36-45,Others,55305.83,91.0,325.0,1.0,0.25
152,Yv3705,2022-11-23 00:00:00.000000000,TV,South,46-55,Female,101910.63,33.0,1918.0,0.7,0.29
153,Wu7724,2021-09-24 00:00:00.000000000,Social Networks,North,36-45,Male,104922.32,94.0,601.0,0.44,0.27
154,Sf2519,2020-09-11 00:00:00.000000000,Email,West,36-45,Male,3271.36,40.0,1889.0,0.89,0.06
155,Ac8022,2018-02-08 00:00:00.000000000,Email,West,36-45,Others,142998.39,68.0,34.0,1.31,0.16
156,Cy4322,2020-04-01 00:00:00.000000000,Email,West,26-35,Male,57471.21,46.0,1019.0,0.15,0.13
157,Db9462,2020-09-12 00:00:00.000000000,Email,South,56+,Others,139038.82,28.0,2361.0,0.2,0.29
158,Of3298,2018-05-17 00:00:00.000000000,Online Advertising,North,36-45,Female,70850.08,41.0,1674.0,1.21,0.15
159,Pk1223,2019-03-31 00:00:00.000000000,Online Advertising,South,56+,Female,11770.19,33.0,2256.0,1.06,0.2
160,Je5985,2022-10-28 00:00:00.000000000,Social Networks,North,26-35,Male,11794.74,62.0,1001.0,0.64,0.15
161,No7031,2022-05-03 00:00:00.000000000,TV,West,56+,Male,80624.17,98.0,1353.0,1.04,0.04
162,Co7120,2019-08-12 00:00:00.000000000,Email,North,56+,Male,62977.7,57.0,68.0,1.06,0.24
163,Ms1154,2021-01-11 00:00:00.000000000,Online Advertising,South,46-55,Others,114632.07,66.0,878.0,0.88,0.15
164,At5598,2022-09-16 00:00:00.000000000,TV,South,36-45,Female,68261.63,96.0,2875.0,0.76,0.29
165,By2652,2018-02-08 00:00:00.000000000,Social Networks,East,46-55,Others,75452.5736216487,72.0,262.0,0.78,0.28
166,Bz4982,2018-07-15 00:00:00.000000000,Social Networks,East,36-45,Male,74099.65,82.0,834.0,0.27,0.11
167,Cs9637,2022-11-28 00:00:00.000000000,Email,East,36-45,Male,130735.23,76.0,1683.0,0.48,0.22
168,Uf8223,2019-11-11 00:00:00.000000000,Direct Advertising,North,18-25,Male,17129.65,40.0,2701.0,0.75,0.06
169,Qp3724,2021-08-02 00:00:00.000000000,TV,North,36-45,Male,121582.4,55.0,2934.0,1.26,0.27
170,Ud4443,2022-06-18 00:00:00.000000000,Email,North,46-55,Male,10194.93,40.0,243.0,1.36,0.1
171,Vf4699,2019-05-15 00:00:00.000000000,Online Advertising,South,18-25,Others,141409.23,39.0,819.0,0.42,0.28
172,Ci8717,2020-09-11 00:00:00.000000000,Social Networks,East,18-25,Male,92037.65,20.0,183.0,1.37,0.18
173,Uk1955,2022-12-13 00:00:00.000000000,Email,North,46-55,Male,89949.41,55.0,588.0,0.3,0.21
174,Xd7699,2018-12-10 00:00:00.000000000,Online Advertising,West,26-35,Male,4449.64,85.0,2892.0,1.22,0.21
175,Uz3451,2021-08-26 00:00:00.000000000,Social Networks,West,46-55,Male,46089.59,79.0,2158.0,0.85,0.21
176,Nv6993,2019-04-04 00:00:00.000000000,Online Advertising,East,36-45,Male,113221.09,94.0,2039.0,1.08,0.08
177,So1296,2020-08-01 00:00:00.000000000,TV,East,36-45,Others,41558.4,56.0,2195.0,0.21,0.09
178,Pd8373,2020-11-09 00:00:00.000000000,Email,East,36-45,Others,91744.67,74.0,1314.0,0.48,0.02
179,Qo5895,2020-05-21 00:00:00.000000000,Direct Advertising,South,26-35,Female,134618.51,40.0,1266.0,0.46,0.2
180,Hw2739,2018-07-14 00:00:00.000000000,Online Advertising,South,18-25,Others,144596.37,54.0,2359.0,0.27,0.03
181,Ef7549,2021-04-02 00:00:00.000000000,TV,North,36-45,Male,49004.27,77.0,2765.0,0.48,0.25
182,Nw3216,2020-12-11 00:00:00.000000000,TV,South,18-25,Male,144728.85,66.0,1898.0,1.12,0.03
183,Bd6605,2020-05-25 00:00:00.000000000,Online Advertising,South,36-45,Others,84402.53,36.0,2955.0,1.31,0.07
184,Eo1366,2019-06-18 00:00:00.000000000,Social Networks,North,36-45,Female,41923.21,49.0,2248.0,0.11,0.05
185,Jl6822,2018-06-26 00:00:00.000000000,Email,West,46-55,Female,11480.18,55.0,1936.0,0.26,0.05
186,Ak4512,2019-07-08 00:00:00.000000000,Online Advertising,South,46-55,Male,72006.72,25.0,718.0,1.02,0.26
187,Ak8157,2020-04-06 00:00:00.000000000,Direct Advertising,East,36-45,Male,13950.75,80.0,997.0,0.95,0.16
188,Ay6088,2018-03-25 00:00:00.000000000,Social Networks,North,18-25,Male,52210.05,75.0,2618.0,0.4,0.09
189,Id9797,2022-03-27 00:00:00.000000000,Online Advertising,East,26-35,Male,67068.59,67.0,731.0,0.12,0.09
190,Hz6555,2019-09-25 00:00:00.000000000,Online Advertising,West,56+,Male,528.11,82.0,634.0,1.05,0.08
191,So5583,2021-11-16 00:00:00.000000000,Direct Advertising,North,26-35,Male,5438.56,22.0,2233.0,0.13,0.03
192,Tv5572,2021-08-18 00:00:00.000000000,TV,East,26-35,Others,105675.14,50.0,1886.0,1.19,0.12
193,Nj1224,2019-08-20 00:00:00.000000000,TV,North,36-45,Female,1265.59,32.0,2861.0,1.36,0.13
194,Wy2693,2019-12-07 00:00:00.000000000,TV,East,36-45,Male,10745.73,48.0,2344.0,0.72,0.25
195,Tf6071,2019-09-11 00:00:00.000000000,Online Advertising,East,18-25,Male,92000.2,61.0,785.0,0.73,0.1
196,Lg4054,2022-06-01 00:00:00.000000000,Online Advertising,North,36-45,Male,81511.87,23.0,1702.0,0.46,0.19
197,Bf2950,2021-12-24 00:00:00.000000000,Online Advertising,North,18-25,Female,51103.52,2.0,621.0,0.87,0.09
198,Pg9455,2019-12-11 00:00:00.000000000,Online Advertising,East,36-45,Others,113425.34,46.0,288.0,1.42,0.19
199,Bn6745,2022-11-20 00:00:00.000000000,Online Advertising,South,36-45,Male,107965.38,11.0,2281.0,1.1,0.19
200,Sf7017,2019-12-13 00:00:00.000000000,Email,North,46-55,Female,16274.64,5.0,464.0,0.48,0.19
201,Er3822,2021-12-22 00:00:00.000000000,TV,North,26-35,Female,57164.15,51.0,1225.0,1.35,0.04
202,Ab3309,2019-11-03 00:00:00.000000000,Social Networks,North,46-55,Male,6441.35,62.0,976.0,0.28,0.19
203,Kw2716,2021-06-27 00:00:00.000000000,Online Advertising,East,36-45,Others,108387.04,54.0,2905.0,0.65,0.22
204,Pi1118,2021-12-23 00:00:00.000000000,Online Advertising,North,46-55,Male,28061.18,20.0,1439.0,0.27,0.17
205,Ot6371,2020-10-17 00:00:00.000000000,Online Advertising,North,56+,Male,44002.06,99.0,241.0,1.17,0.13
206,Mb4178,2019-02-02 00:00:00.000000000,Online Advertising,North,56+,Male,98172.5,11.0,1487.0,0.1,0.07
207,Lj3447,2020-10-09 00:00:00.000000000,Direct Advertising,South,46-55,Others,107253.95,11.0,2493.0,0.55,0.09
208,Go1414,2019-06-12 00:00:00.000000000,Email,South,18-25,Others,26229.15,19.0,294.0,1.05,0.12
209,By9431,2019-01-16 00:00:00.000000000,Online Advertising,South,26-35,Male,108437.05,92.0,2518.0,0.84,0.11
210,Ky6194,2022-04-18 00:00:00.000000000,Online Advertising,South,36-45,Female,25005.46,31.0,1855.0,1.0,0.19
211,Ga9725,2018-02-09 00:00:00.000000000,Online Advertising,West,18-25,Male,50029.98,99.0,860.0,1.05,0.13
212,Rq2990,2019-06-06 00:00:00.000000000,Social Networks,West,36-45,Male,54756.38,43.0,384.0,0.69,0.17
213,Us9349,2019-04-18 00:00:00.000000000,Online Advertising,East,36-45,Others,39521.29,23.0,1730.0,0.8,0.16
214,Kl1926,2018-07-19 00:00:00.000000000,TV,South,26-35,Male,92230.41,83.0,292.0,0.78,0.19
215,Zv7045,2021-02-22 00:00:00.000000000,Online Advertising,North,26-35,Male,108060.42,24.0,1833.0,0.48,0.1
216,Pa6159,2018-09-22 00:00:00.000000000,Email,South,26-35,Male,71359.05,58.0,1721.0,0.57,0.28
217,Ii4965,2020-02-14 00:00:00.000000000,Email,North,46-55,Male,79227.59,1.0,479.0,0.16,0.15
218,Dg5052,2018-07-05 00:00:00.000000000,Online Advertising,East,26-35,Male,13298.05,30.0,2005.0,0.19,0.14
219,Kz3770,2022-05-16 00:00:00.000000000,TV,North,36-45,Male,90881.21,99.0,2862.0,0.69,0.19
220,Cp3997,2021-06-29 00:00:00.000000000,Social Networks,South,36-45,Others,112629.81,75.0,2882.0,0.98,0.15
221,Fc3850,2019-04-03 00:00:00.000000000,Email,West,46-55,Male,134098.41,21.0,2699.0,1.12,0.03
222,Vp1912,2021-03-21 00:00:00.000000000,Direct Advertising,North,18-25,Male,35465.46,46.0,96.0,0.25,0.26
223,Mo9595,2020-04-10 00:00:00.000000000,Email,North,46-55,Female,749.88,73.0,2651.0,0.93,0.28
224,Tj2851,2020-12-13 00:00:00.000000000,Social Networks,West,46-55,Male,35597.59,45.0,1832.0,0.81,0.07
225,Hh9062,2020-07-07 00:00:00.000000000,Social Networks,East,56+,Male,84329.05,62.0,1417.0,1.35,0.02
226,Ct8406,2022-04-11 00:00:00.000000000,Online Advertising,West,26-35,Others,109281.5,37.0,2785.0,1.29,0.29
