ID,date,campaign_type,region,customer_age_range,gender,sales,units_sold,clients_engaged,click_rate,conversion_rate,satisfaction_client (%)
Xd8609,3/12/2021,Social Networks,East,18-25,Male,99163.64,94,1675,1.03,0.1,71.6
Mo2448,6/28/2019,NA,West,26-35,Others,57658.11,16,3000,0.82,0.02,48.6
Hn8795,5/5/2019,Social Networks,NA,18-25,Female,21539.52,97,2563,0.36,0.15,37.0
Xu1903,7/3/2022,TV,East,18-25,NA,26474.98,69,280,1.47,0.11,77.6
Kk8769,12/4/2022,Direct Advertising,South,18-25,Male,18425.64,82,1032,1.39,0.22,88.8
Kg9425,6/23/2020,TV,North,26-35,Female,137081.73,71,2946,1.21,0.17,70.8
Eh3460,7/25/2020,Direct Advertising,North,46-55,Others,117820.62,46,2991,0.93,0.19,26.0
Rm4327,11/12/2020,NA,NA,46-55,Female,142444.84,88,1358,0.13,0.19,82.4
Xi9285,7/11/2020,Social Networks,West,26-35,Male,35410.79,24,2390,0.17,0.26,32.4
Gi7929,8/13/2020,Email,East,18-25,Male,35454.36,37,1636,0.29,0.12,94.2
Ca3906,11/5/2018,Direct Advertising,North,56+,Female,1611.97,57,1778,1.33,0.1,41.8
Sl6130,3/4/2021,NA,NA,36-45,Male,59615.69,82,865,1.35,0.05,56.0
Sd1410,6/1/2021,Online Advertising,West,36-45,Female,122774.3,98,2058,1.07,0.06,70.0
Cd4721,6/15/2018,Email,NA,36-45,NA,52263.65,34,717,0.18,0.2,37.8
Yr7519,8/5/2018,Social Networks,South,NA,Female,105125.12,40,277,1.23,0.05,75.6
Rt1161,8/6/2021,NA,West,26-35,Male,123602.04,67,665,1.27,0.16,74.4
Yn4303,8/4/2019,Direct Advertising,NA,NA,Female,109030.82,17,2998,1.47,0.02,73.6
Ge1765,3/13/2018,Email,South,18-25,Female,119755.51,86,1943,0.9,0.23,44.8
Os9589,8/11/2019,Online Advertising,West,26-35,Male,134895.76,47,2716,0.67,0.03,80.2
Un9128,5/18/2022,Direct Advertising,South,56+,Others,133084.42,85,1918,1.32,0.11,55.4
Ju1466,5/21/2018,Direct Advertising,NA,36-45,NA,112524.99,63,1006,0.58,0.16,52.0
Qw7871,12/23/2019,TV,NA,36-45,Female,56714.86,100,343,1.16,0.27,56.0
Uy7827,5/8/2020,Social Networks,West,56+,Others,25970.95,2,993,0.42,0.07,26.4
Co2159,6/2/2018,TV,South,18-25,Others,42375.17,52,2026,0.27,0.01,99.0
Uz4962,10/21/2018,Social Networks,South,56+,Others,113249.06,95,618,1.47,0.23,24.6
Wk5773,10/4/2018,Online Advertising,East,46-55,NA,102635.95,99,2923,1.41,0.18,52.6
Lq7452,1/26/2022,NA,West,26-35,Others,46592.02,24,464,0.73,0.28,44.0
Gs7415,2/10/2018,Social Networks,NA,18-25,Others,6669.09,47,512,0.98,0.12,75.8
Jw2993,3/7/2019,Direct Advertising,NA,18-25,Male,94993.2,63,2508,1.49,0.25,23.0
Jo3008,3/31/2018,Direct Advertising,East,36-45,Female,59991.46,14,2201,0.33,0.16,39.2
Ax1457,11/12/2018,Social Networks,NA,18-25,Others,54931.05,26,103,0.14,0.14,51.4
Fi9118,5/31/2021,Online Advertising,North,NA,Others,100958.3,55,2833,0.05,0.1,31.4
Mm7251,6/12/2019,Direct Advertising,West,46-55,Male,74467.27,19,1222,0.08,0.24,76.6
Mo1281,2/13/2021,NA,North,36-45,NA,120795.69,38,2869,0.93,0.12,73.2
Wp4282,6/18/2022,Email,North,26-35,Others,50609.31,38,45,0.91,0.19,72.0
Cz8776,2/13/2020,Email,East,46-55,Female,86268.84,80,358,0.86,0.11,94.8
Vq2759,1/17/2020,Online Advertising,West,46-55,NA,6373.01,49,96,1.21,0.27,96.8
Qo4849,4/1/2019,Online Advertising,West,NA,Female,148964.28,50,1605,0.41,0.13,77.8
En8458,8/21/2019,Social Networks,West,18-25,NA,84285.45,79,257,1.47,0.17,55.6
Qf9897,11/28/2020,Social Networks,North,46-55,Others,22701.65,77,2363,0.07,0.03,34.0
Qf4655,3/28/2021,Social Networks,East,46-55,Male,5591.69,28,1043,1.36,0.19,25.4
Qy1605,1/22/2020,Email,NA,26-35,Male,84470.35,67,366,1.45,0.14,34.4
Kz4033,5/17/2021,Email,West,36-45,Others,65895.56,62,803,1.46,0.19,76.6
Nh6375,1/9/2019,Online Advertising,West,36-45,Male,21661.86,12,183,1.19,0.25,80.0
Qq4493,2/3/2018,TV,NA,NA,Female,48588.85,23,2132,0.68,0.11,78.6
Vd8241,5/31/2019,Social Networks,West,26-35,Female,70515.59,45,1644,1.19,0.02,57.4
Fy3897,1/13/2018,Social Networks,West,36-45,Male,40523.73,41,2430,0.22,0.05,24.6
Lg2094,3/10/2018,Email,North,NA,NA,61518.68,72,2743,0.99,0.05,80.8
Me8842,1/25/2020,Social Networks,South,18-25,Female,143254.42,72,2580,0.65,0.11,91.0
Ez8837,2/13/2019,Social Networks,East,46-55,Female,100961.08,85,775,0.34,0.17,56.0
Dj4352,8/24/2021,NA,North,26-35,Others,108401.64,43,2765,0.61,0.05,35.6
Uj8549,7/25/2021,TV,West,26-35,Female,81003.15,100,2115,1.21,0.18,62.6
Hl5735,1/17/2021,Social Networks,South,18-25,Female,115267.41,56,1145,0.62,0.1,77.4
Dj1880,7/16/2020,Email,West,NA,Female,48515.78,2,2009,1.31,0.07,49.6
Ho1156,10/2/2020,Social Networks,South,56+,Others,55526.86,52,2183,0.42,0.17,27.2
Xh1965,6/21/2019,Email,NA,56+,Female,4770.8,79,1839,0.94,0.12,57.8
Dj3381,9/9/2020,Direct Advertising,North,56+,Female,14431.08,94,1534,1.36,0.23,86.8
Cx7401,10/18/2018,Social Networks,East,NA,NA,108988.77,20,34,0.96,0.28,87.2
Vg9722,12/18/2021,Online Advertising,West,56+,Female,97721.45,87,65,0.6,0.09,66.6
Qj5224,8/2/2021,NA,West,26-35,NA,27757.46,15,2265,0.99,0.24,37.8
Wq8468,11/2/2019,Social Networks,West,36-45,Others,146363.81,47,2280,0.69,0.13,83.2
Zv8573,5/1/2018,Direct Advertising,South,18-25,Others,17722.42,62,2583,0.12,0.29,48.6
Tn5376,2/7/2021,Social Networks,North,36-45,NA,68641.24,52,2326,1.22,0.09,75.0
Lh2768,3/27/2021,TV,South,36-45,NA,59643.58,73,2205,0.14,0.04,85.8
Ti1106,12/23/2020,Online Advertising,West,26-35,Female,89225.19,100,2175,1.15,0.07,31.4
Yb6369,2/15/2022,Direct Advertising,East,56+,Others,86164.71,20,129,1.12,0.05,68.8
Lw5944,2/9/2022,Online Advertising,North,46-55,Female,18968.19,92,1326,0.37,0.14,22.6
Wc5402,4/25/2019,Social Networks,NA,36-45,Others,131727.23,61,529,1.32,0.25,85.6
Yb4175,10/1/2022,NA,West,26-35,NA,88322.59,32,1021,0.85,0.05,72.2
Ua1885,3/8/2018,Direct Advertising,NA,56+,Female,81539.83,11,792,0.81,0.24,63.8
Nt7358,8/14/2022,Social Networks,North,26-35,NA,111198.31,62,2113,1.07,0.27,53.4
Us2086,10/10/2020,NA,North,NA,Female,22710.49,68,1288,0.49,0.15,88.2
Dm2086,1/13/2021,Email,North,46-55,Female,100651.67,39,463,0.93,0.24,47.4
Ff3931,6/14/2018,NA,North,46-55,Male,58632.53,40,1142,0.31,0.1,66.4
Ny6131,7/30/2022,Email,North,56+,Male,44142.84,70,848,1.19,0.27,97.8
Pe9508,12/10/2020,Online Advertising,West,NA,Male,112390.05,41,1198,0.34,0.21,86.4
Bh6426,1/2/2021,TV,NA,56+,Female,5091.63,28,1044,0.15,0.08,63.4
Jy5483,4/16/2021,TV,NA,26-35,Male,79474.02,81,2676,0.47,0.29,44.6
Dl1313,10/17/2021,Social Networks,North,36-45,Others,60332.44,97,266,0.38,0.11,75.0
Wo4698,8/24/2018,Social Networks,South,36-45,Others,33802.65,28,1813,0.96,0.08,20.2
Te9094,9/2/2019,TV,North,46-55,Male,129829.62,57,2248,1.47,0.18,66.8
Gq8260,11/26/2018,Social Networks,South,36-45,Others,103772.79,79,109,0.81,0.12,38.8
Qm3340,12/27/2019,Online Advertising,South,26-35,Male,28125.66,25,1346,0.44,0.16,24.0
Sp4733,5/7/2018,Online Advertising,East,46-55,NA,74169.01,59,178,0.89,0.05,69.2
Ki4975,7/31/2018,Direct Advertising,South,18-25,NA,113211.16,62,2391,1.3,0.13,23.6
Rc1492,11/17/2019,TV,NA,56+,NA,147651.25,31,869,0.15,0.02,62.8
Nl9745,12/14/2022,Direct Advertising,West,26-35,Female,80513.79,8,2729,0.76,0.19,96.4
Ym5094,3/24/2020,Social Networks,South,56+,NA,2741.53,5,1791,1.21,0.27,94.2
Sp7400,8/26/2021,TV,South,56+,Male,72250.45,43,1804,0.81,0.28,77.4
Wp5062,7/19/2020,NA,East,36-45,Female,37673.72,16,2167,0.66,0.21,94.4
Ev5705,11/3/2022,Online Advertising,East,18-25,Male,142289.23,97,1812,0.31,0.28,66.8
Rc1678,5/27/2020,TV,West,18-25,Female,63346.23,95,368,1.3,0.17,43.4
Za6112,8/31/2018,Email,NA,26-35,NA,97381.22,61,721,0.32,0.02,64.6
Jr7053,4/26/2020,Direct Advertising,South,NA,Female,75729.11,12,2780,0.11,0.13,36.8
Ps8728,12/21/2022,TV,East,46-55,Male,77264,1,1762,0.13,0.13,63.0
Qy7541,2/10/2021,TV,South,36-45,NA,66704.03,59,1613,0.7,0.06,54.0
Dk9583,9/9/2020,NA,NA,56+,Female,120763.06,98,13,0.67,0.05,36.4
Kx8670,9/11/2019,TV,North,18-25,Others,14691.76,88,975,1.46,0.1,50.6
Jj7817,4/22/2019,Direct Advertising,North,36-45,Others,49813.7,82,397,0.5,0.22,88.2
Dc9454,5/31/2018,Social Networks,North,36-45,Female,94792.7,7,1787,0.12,0.18,80.8
Aq2844,10/28/2019,Online Advertising,North,NA,Female,2520.28,25,832,0.21,0.1,59.8
Fw8151,6/26/2022,Online Advertising,East,NA,Female,86519.98,42,2344,0.08,0.1,28.4
Zi5404,2/6/2020,Direct Advertising,West,56+,Female,104146.09,59,769,0.3,0.18,88.8
Xg8367,6/9/2018,Online Advertising,East,26-35,Male,12649.16,53,2203,1.27,0.14,31.2
Ek2132,11/15/2021,Direct Advertising,South,18-25,Female,94331.83,29,2241,0.45,0.18,76.8
Ha8780,6/4/2018,Online Advertising,West,NA,Others,143954.5,80,1833,1.14,0.27,69.0
Zp8006,3/2/2019,TV,NA,18-25,NA,20865,7,117,1.16,0.26,67.8
Rl6341,10/25/2020,NA,South,NA,NA,32508.45,72,1599,0.58,0.09,40.6
Kc8335,11/22/2018,NA,East,18-25,Female,27525.75,96,154,1.12,0.04,49.4
Gm1212,12/13/2022,NA,East,56+,NA,86564.67,79,495,0.62,0.18,81.6
Qx9594,7/27/2021,Social Networks,North,NA,Female,108411.72,75,2438,0.82,0.01,44.8
Sf4199,12/29/2022,NA,East,NA,Female,109661.15,47,521,1.25,0.12,55.8
Rh9068,2/28/2020,Direct Advertising,North,46-55,NA,27406.55,50,752,0.51,0.08,71.8
Sl3881,5/10/2022,Direct Advertising,NA,18-25,Others,84034.69,15,557,0.91,0.1,80.4
Dr5706,6/15/2021,Online Advertising,North,36-45,Others,55305.83,91,325,1,0.25,34.2
Yv3705,11/23/2022,TV,NA,46-55,Female,101910.63,33,1918,0.7,0.29,53.0
Wu7724,9/24/2021,Social Networks,NA,36-45,NA,104922.32,94,601,0.44,0.27,36.8
Sf2519,9/11/2020,Email,West,36-45,NA,3271.36,40,1889,0.89,0.06,70.8
Ac8022,2/8/2018,Email,West,NA,Others,142998.39,68,34,1.31,0.16,31.0
Cy4322,4/1/2020,Email,West,26-35,Male,57471.21,46,1019,0.15,0.13,97.0
Db9462,9/12/2020,Email,NA,56+,Others,139038.82,28,2361,0.2,0.29,66.4
Of3298,5/17/2018,Online Advertising,North,36-45,Female,70850.08,41,1674,1.21,0.15,67.8
Pk1223,3/31/2019,NA,South,56+,Female,11770.19,33,2256,1.06,0.2,98.4
Je5985,10/28/2022,Social Networks,NA,26-35,Male,11794.74,62,1001,0.64,0.15,86.2
No7031,5/3/2022,TV,West,56+,NA,80624.17,98,1353,1.04,0.04,31.4
Co7120,8/12/2019,Email,North,56+,Male,62977.7,57,68,1.06,0.24,88.6
Ms1154,1/11/2021,Online Advertising,NA,46-55,Others,114632.07,66,878,0.88,0.15,60.0
At5598,9/16/2022,TV,South,NA,Female,68261.63,96,2875,0.76,0.29,63.2
By2652,2/8/2018,Social Networks,East,46-55,Others,NA,72,262,0.78,0.28,37.4
Bz4982,7/15/2018,Social Networks,East,36-45,Male,74099.65,82,834,0.27,0.11,97.8
Cs9637,11/28/2022,Email,East,NA,NA,130735.23,76,1683,0.48,0.22,27.6
Uf8223,11/11/2019,Direct Advertising,NA,18-25,Male,17129.65,40,2701,0.75,0.06,89.0
Qp3724,8/2/2021,TV,North,NA,NA,121582.4,55,2934,1.26,0.27,40.4
Ud4443,6/18/2022,Email,North,46-55,NA,10194.93,40,243,1.36,0.1,81.4
Vf4699,5/15/2019,Online Advertising,South,18-25,Others,141409.23,39,819,0.42,0.28,82.8
Ci8717,9/11/2020,Social Networks,East,18-25,Male,92037.65,20,183,1.37,0.18,95.2
Uk1955,12/13/2022,Email,NA,46-55,NA,89949.41,55,588,0.3,0.21,31.0
Xd7699,12/10/2018,Online Advertising,West,26-35,NA,4449.64,85,2892,1.22,0.21,53.6
Uz3451,8/26/2021,Social Networks,West,46-55,Male,46089.59,79,2158,0.85,0.21,77.4
Nv6993,4/4/2019,Online Advertising,East,36-45,Male,113221.09,94,2039,1.08,0.08,47.8
So1296,8/1/2020,TV,East,NA,Others,41558.4,56,2195,0.21,0.09,35.6
Pd8373,11/9/2020,Email,East,NA,Others,91744.67,74,1314,0.48,0.02,90.4
Qo5895,5/21/2020,Direct Advertising,South,26-35,Female,134618.51,40,1266,0.46,0.2,33.0
Hw2739,7/14/2018,Online Advertising,South,18-25,Others,144596.37,54,2359,0.27,0.03,64.2
Ef7549,4/2/2021,TV,North,36-45,NA,49004.27,77,2765,0.48,0.25,70.0
Nw3216,12/11/2020,TV,South,18-25,NA,144728.85,66,1898,1.12,0.03,39.8
Bd6605,5/25/2020,NA,NA,36-45,Others,84402.53,36,2955,1.31,0.07,92.4
Eo1366,6/18/2019,Social Networks,North,NA,Female,41923.21,49,2248,0.11,0.05,35.2
Jl6822,6/26/2018,Email,West,46-55,Female,11480.18,55,1936,0.26,0.05,94.0
Ak4512,7/8/2019,NA,South,46-55,NA,72006.72,25,718,1.02,0.26,32.2
Ak8157,4/6/2020,Direct Advertising,East,36-45,NA,13950.75,80,997,0.95,0.16,64.2
Ay6088,3/25/2018,Social Networks,NA,18-25,Male,52210.05,75,2618,0.4,0.09,65.2
Id9797,3/27/2022,Online Advertising,East,26-35,Male,67068.59,67,731,0.12,0.09,72.8
Hz6555,9/25/2019,Online Advertising,West,56+,Male,528.11,82,634,1.05,0.08,75.0
So5583,11/16/2021,Direct Advertising,NA,26-35,Male,5438.56,22,2233,0.13,0.03,80.8
Tv5572,8/18/2021,TV,East,26-35,Others,105675.14,50,1886,1.19,0.12,53.0
Nj1224,8/20/2019,TV,NA,36-45,Female,1265.59,32,2861,1.36,0.13,75.2
Wy2693,12/7/2019,TV,East,36-45,NA,10745.73,48,2344,0.72,0.25,26.8
Tf6071,9/11/2019,NA,East,18-25,NA,92000.2,61,785,0.73,0.1,56.6
Lg4054,6/1/2022,NA,North,36-45,NA,81511.87,23,1702,0.46,0.19,26.2
Bf2950,12/24/2021,Online Advertising,North,18-25,Female,51103.52,2,621,0.87,0.09,38.0
Pg9455,12/11/2019,Online Advertising,East,NA,Others,113425.34,46,288,1.42,0.19,42.6
Bn6745,11/20/2022,Online Advertising,South,NA,Male,107965.38,11,2281,1.1,0.19,68.0
Sf7017,12/13/2019,Email,NA,46-55,Female,16274.64,5,464,0.48,0.19,42.8
Er3822,12/22/2021,TV,North,26-35,Female,57164.15,51,1225,1.35,0.04,87.4
Ab3309,11/3/2019,Social Networks,NA,46-55,NA,6441.35,62,976,0.28,0.19,37.2
Kw2716,6/27/2021,NA,East,36-45,Others,108387.04,54,2905,0.65,0.22,68.2
Pi1118,12/23/2021,NA,NA,46-55,NA,28061.18,20,1439,0.27,0.17,30.0
Ot6371,10/17/2020,NA,North,56+,Male,44002.06,99,241,1.17,0.13,56.8
Mb4178,2/2/2019,NA,NA,56+,NA,98172.5,11,1487,0.1,0.07,59.0
Lj3447,10/9/2020,Direct Advertising,South,46-55,Others,107253.95,11,2493,0.55,0.09,89.2
Go1414,6/12/2019,Email,South,18-25,Others,26229.15,19,294,1.05,0.12,35.0
By9431,1/16/2019,Online Advertising,South,26-35,NA,108437.05,92,2518,0.84,0.11,20.6
Ky6194,4/18/2022,NA,South,36-45,Female,25005.46,31,1855,1,0.19,86.4
Ga9725,2/9/2018,NA,West,18-25,Male,50029.98,99,860,1.05,0.13,31.4
Rq2990,6/6/2019,Social Networks,West,36-45,NA,54756.38,43,384,0.69,0.17,71.8
Us9349,4/18/2019,Online Advertising,East,36-45,Others,39521.29,23,1730,0.8,0.16,89.4
Kl1926,7/19/2018,TV,South,26-35,NA,92230.41,83,292,0.78,0.19,73.0
Zv7045,2/22/2021,NA,North,26-35,Male,108060.42,24,1833,0.48,0.1,30.4
Pa6159,9/22/2018,Email,South,26-35,Male,71359.05,58,1721,0.57,0.28,46.8
Ii4965,2/14/2020,Email,North,46-55,Male,79227.59,1,479,0.16,0.15,82.4
Dg5052,7/5/2018,Online Advertising,East,26-35,NA,13298.05,30,2005,0.19,0.14,34.2
Kz3770,5/16/2022,TV,North,NA,Male,90881.21,99,2862,0.69,0.19,51.8
Cp3997,6/29/2021,Social Networks,NA,NA,Others,112629.81,75,2882,0.98,0.15,83.8
Fc3850,4/3/2019,Email,West,46-55,NA,134098.41,21,2699,1.12,0.03,58.6
Vp1912,3/21/2021,Direct Advertising,NA,18-25,NA,35465.46,46,96,0.25,0.26,71.4
Mo9595,4/10/2020,Email,North,46-55,Female,749.88,73,2651,0.93,0.28,54.4
Tj2851,12/13/2020,Social Networks,West,46-55,Male,35597.59,45,1832,0.81,0.07,80.6
Hh9062,7/7/2020,Social Networks,East,56+,Male,84329.05,62,1417,1.35,0.02,50.6
Ct8406,4/11/2022,Online Advertising,West,26-35,Others,109281.5,37,2785,1.29,0.29,73.4
Hf7065,8/23/2018,TV,North,56+,Male,60830.65,6,1799,0.15,0.18,67.4
Bn6861,8/5/2021,Online Advertising,NA,18-25,Male,104128.15,27,2515,1.44,0.12,22.8
Wp5212,7/4/2018,TV,West,36-45,Others,19571.63,37,1194,0.35,0.27,20.8
Ko2601,11/24/2022,Direct Advertising,East,26-35,NA,140227.78,37,1461,0.44,0.27,56.0
Fs5086,2/17/2019,Online Advertising,East,56+,Female,43848.08,11,2014,1.45,0.22,59.4
Yt9855,9/19/2019,NA,West,46-55,Male,105736.04,13,2934,0.81,0.22,62.4
Ab9105,6/6/2019,TV,NA,36-45,Others,50320.69,100,961,0.15,0.15,98.0
Kb9112,8/25/2021,TV,South,26-35,Others,117127.91,21,2774,0.22,0.13,63.2
Gl7074,12/13/2020,Social Networks,East,NA,Others,29656.09,27,1793,0.81,0.29,59.2
Ak9448,7/24/2018,Direct Advertising,East,NA,Others,126757.5,30,2092,1,0.1,25.4
Fo4467,2/18/2020,Email,North,18-25,Male,58136.8,9,2668,0.7,0.13,32.4
Mu8449,4/10/2022,Direct Advertising,NA,NA,NA,130316.64,66,2896,0.06,0.21,60.8
Aj7078,7/18/2019,NA,South,NA,Others,88201.87,2,1002,1.26,0.2,31.6
El9023,3/4/2020,Social Networks,West,36-45,Others,27761.75,24,2314,0.37,0.08,73.6
Pd7125,11/15/2021,TV,NA,NA,Others,13863.98,60,620,1.16,0.15,90.8
Cx7293,2/13/2019,TV,NA,36-45,Others,88124.45,72,1840,1.18,0.12,56.2
Dm4360,10/17/2022,TV,South,26-35,Male,145775.38,22,2165,0.35,0.02,95.8
Mu4739,10/1/2021,Direct Advertising,South,36-45,NA,52501.74,45,1870,0.89,0.23,94.0
Wc3682,6/9/2018,Online Advertising,North,18-25,Others,144048.12,47,229,0.68,0.19,82.6
Zy3901,4/13/2019,TV,North,36-45,Female,87407.62,53,399,0.31,0.11,45.8
Qk1769,3/13/2022,NA,East,18-25,Female,124687.29,54,1927,0.99,0.11,91.8
Bi5415,7/8/2020,Direct Advertising,West,26-35,Female,145123.3,60,1589,1.11,0.06,30.8
Nb5435,12/16/2020,Direct Advertising,North,NA,Others,138786.31,76,1056,0.33,0.12,95.8
Tz9879,4/2/2019,TV,West,18-25,NA,92984.22,30,2384,1.44,0.05,74.0
Kd1959,9/9/2019,Direct Advertising,West,26-35,Male,37777.16,86,2045,0.58,0.19,40.4
Ly4909,12/23/2018,Direct Advertising,North,18-25,NA,144473.47,78,886,0.1,0.24,72.8
Pv2150,10/6/2018,Online Advertising,East,36-45,Others,81641.7,26,1005,1.32,0.25,93.4
Cg1299,9/27/2018,Social Networks,NA,26-35,Male,94534.26,55,242,1.36,0.12,82.8
En3120,5/27/2020,Direct Advertising,North,36-45,Male,122508.45,10,260,0.32,0.25,92.8
Pu9121,10/8/2019,Online Advertising,West,56+,Others,137089.73,44,2701,0.42,0.2,86.8
Kp5263,12/13/2018,Email,South,46-55,NA,134568.35,13,2401,0.9,0.03,27.8
By3652,2/26/2021,Email,South,46-55,NA,9263.39,73,2095,1.04,0.18,70.6
Tz1136,8/6/2018,TV,West,46-55,NA,129440.93,65,788,0.56,0.14,77.2
Je3993,9/10/2019,Social Networks,West,56+,Male,73245.34,33,595,0.84,0.07,47.6
Dj6931,11/29/2019,Online Advertising,East,18-25,NA,42541.3,57,1035,0.58,0.02,62.6
Db3851,12/3/2018,Direct Advertising,NA,18-25,NA,30694.86,46,861,0.49,0.23,68.0
Ad4845,3/7/2020,NA,East,NA,Female,115298.92,4,2681,0.99,0.02,36.8
Po2778,1/26/2018,Social Networks,West,56+,Female,111328.44,7,2210,0.9,0.15,94.0
Xi3119,6/23/2019,Social Networks,NA,NA,Female,36338.01,24,341,0.35,0.14,96.8
Qa5948,9/7/2020,TV,East,18-25,Female,88600.12,56,276,0.74,0.26,38.4
Yu6333,3/23/2022,TV,NA,36-45,NA,110815.7,44,637,0.99,0.06,36.6
Is4224,8/13/2020,NA,NA,26-35,NA,35370.83,45,1529,0.59,0.25,50.4
Af2861,11/16/2022,NA,NA,18-25,Male,149629.66,63,1477,0.39,0.03,52.2
Ih6129,8/17/2022,Direct Advertising,South,36-45,NA,5092.7,43,2750,0.37,0.02,88.2
Ya3569,4/26/2022,Direct Advertising,West,36-45,Female,117060.73,72,2652,0.8,0.16,21.0
Lh7145,12/25/2019,Direct Advertising,South,56+,Others,69853.1,55,637,0.24,0.26,86.2
Ef1007,11/14/2021,Social Networks,NA,26-35,Male,70175.27,95,690,0.15,0.14,44.8
Ty8813,3/2/2022,TV,East,46-55,Female,121844.5,16,2443,1.49,0.13,57.2
Qn9957,5/30/2021,Email,West,56+,NA,69495.23,61,2279,1.32,0.21,55.2
Mm8254,11/2/2019,Direct Advertising,West,46-55,Female,89507.3,37,1535,1.01,0.09,40.4
Ix5000,5/10/2020,TV,South,56+,Others,6312.25,66,816,1.22,0.2,93.8
Ed4541,10/19/2019,TV,East,56+,Others,46330.1,41,1460,0.82,0.23,72.0
Ic2073,8/17/2020,NA,East,36-45,Male,31860.77,42,274,0.43,0.1,66.8
Xg1390,12/15/2021,Direct Advertising,West,18-25,Male,119323.93,59,322,0.09,0.09,91.6
On8349,12/16/2020,Social Networks,South,56+,Male,80237.17,55,25,0.72,0.17,43.6
He2439,10/22/2019,Online Advertising,NA,56+,Male,88330.42,70,2186,1.29,0.27,65.6
Tz8692,6/12/2018,NA,West,18-25,NA,65828.62,56,2451,0.52,0.05,98.2
Wt9023,8/26/2018,NA,North,46-55,Others,123156.75,4,2239,1.14,0.23,84.4
